insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
TRICARE - WEST REGION,3,3,1.0,510.0,170.0
WELLMED,3,3,1.0,780.0,260.0
AMERIGROUP/WELLPOINT,3,3,1.0,595.0,198.33
MAGNACARE,3,3,1.0,465.0,155.0
GLOBE LIFE INSURANCE CO OF NEW YORK,3,3,1.0,580.0,193.33
UNIFIED LIFE INSURANCE COMPANY,3,3,1.0,510.0,170.0
UB-BANKERS LIFE AND CASUALTY,3,3,1.0,740.0,246.67
IDEALIFE MEDICARE SUPP - PAPER,2,2,1.0,525.0,262.5
MICHIGAN BLUE SHIELD,2,2,1.0,370.0,185.0
FLORIDA BLUE SHIELD,2,2,1.0,410.0,205.0
APPALACHIAN AGENCY FOR SENIOR CITIZENS - PAPER,2,2,1.0,370.0,185.0
KAISER PERMANENTE OF S CA REGION,1,1,1.0,270.0,270.0
INDIANA MEDICAID,1,1,1.0,185.0,185.0
PEKIN INSURANCE,1,1,1.0,140.0,140.0
Loyal Christian Benefit Association,1,1,1.0,185.0,185.0
GREEK CATHOLIC UNION,1,1,1.0,260.0,260.0
TENNESSEE BLUE SHIELD,1,1,1.0,355.0,355.0
AMERICAN POSTAL WORKERS UNION,1,1,1.0,185.0,185.0
EAST CAROLINA BEHAVIORAL HEALTH,1,1,1.0,140.0,140.0
BANKERS LIFE AND CASUALTY,1,1,1.0,185.0,185.0
ARKANSAS MEDICAID,1,1,1.0,185.0,185.0
SOUTH CAROLINA BLUE SHIELD,1,1,1.0,185.0,185.0
AMERIHEALTH CARITAS NORTH CAROLINA,1,1,1.0,185.0,185.0
MCS ADVANTAGE INC - PAPER,1,1,1.0,355.0,355.0
AMERIGROUP CORPORATION,1,1,1.0,140.0,140.0
VIRGINIA PREMIER HEALTH PLANS,1,1,1.0,140.0,140.0
IOWA BLUE SHIELD,1,1,1.0,255.0,255.0
TRILLIUM HEALTH RESOURCES,1,1,1.0,185.0,185.0
