facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
KENANSVILLE REHAB AND HEALTHCARE,MEDICARE,4220.0,22,23,1.05,191.82
LAUREL PARK REHAB,COMMERCIAL_HMO,6355.0,32,34,1.06,198.59
LAUREL PARK REHAB,MEDICAID,510.0,3,3,1.0,170.0
LAUREL PARK REHAB,BLUE_CROSS_BLUE_SHIELD,575.0,2,3,1.5,287.5
LAUREL PARK REHAB,MEDICARE,12195.0,61,66,1.08,199.92
LEXINGTON HEALTH CARE CENTER,COMMERCIAL_HMO,20080.0,109,109,1.0,184.22
LEXINGTON HEALTH CARE CENTER,MEDICAID,785.0,3,3,1.0,261.67
LEXINGTON HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,6415.0,34,34,1.0,188.68
LEXINGTON HEALTH CARE CENTER,MEDICARE,5505.0,30,30,1.0,183.5
LIFE CARE CENTER OF NEW MARKET,COMMERCIAL_HMO,6655.01,37,39,1.05,179.87
LIFE CARE CENTER OF NEW MARKET,MEDICAID,370.0,2,2,1.0,185.0
LIFE CARE CENTER OF NEW MARKET,BLUE_CROSS_BLUE_SHIELD,1670.0,10,10,1.0,167.0
LIFE CARE CENTER OF NEW MARKET,MEDICARE,13730.01,72,74,1.03,190.69
MOUNTAIN LAUREL,COMMERCIAL_HMO,10984.68,55,55,1.0,199.72
MOUNTAIN LAUREL,MEDICAID,595.0,3,3,1.0,198.33
MOUNTAIN LAUREL,BLUE_CROSS_BLUE_SHIELD,1035.0,5,5,1.0,207.0
MOUNTAIN LAUREL,MEDICARE,3755.0,19,19,1.0,197.63
NORTHERN NECK-ALF,MEDICARE,425.0,2,2,1.0,212.5
NORTHERN NECK SENIOR CARE COMMUNITY,COMMERCIAL_HMO,6485.0,33,33,1.0,196.52
NORTHERN NECK SENIOR CARE COMMUNITY,BLUE_CROSS_BLUE_SHIELD,1295.0,7,7,1.0,185.0
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICARE,8365.0,42,42,1.0,199.17
NOVA HEALTH AND REHAB CENTER,COMMERCIAL_HMO,470.0,2,2,1.0,235.0
PEAK RESOURCES OUTER BANKS,COMMERCIAL_HMO,3095.0,16,16,1.0,193.44
PEAK RESOURCES OUTER BANKS,MEDICAID,1445.0,7,8,1.14,206.43
PEAK RESOURCES OUTER BANKS,MEDICARE,24525.0,111,121,1.09,220.95
Piedmont Health and Rehab,COMMERCIAL_HMO,4520.0,24,24,1.0,188.33
Piedmont Health and Rehab,MEDICAID,925.0,4,4,1.0,231.25
Piedmont Health and Rehab,BLUE_CROSS_BLUE_SHIELD,140.0,1,1,1.0,140.0
Piedmont Health and Rehab,MEDICARE,2220.0,13,13,1.0,170.77
PINEY FOREST HEALTH AND REHAB,COMMERCIAL_HMO,8410.0,51,52,1.02,164.9
PINEY FOREST HEALTH AND REHAB,MEDICAID,1440.0,9,9,1.0,160.0
PINEY FOREST HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,720.0,3,4,1.33,240.0
PINEY FOREST HEALTH AND REHAB,MEDICARE,3940.0,22,22,1.0,179.09
PULASKI HEALTH & REHAB,COMMERCIAL_HMO,11500.0,59,61,1.03,194.92
PULASKI HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,6770.0,32,35,1.09,211.56
PULASKI HEALTH & REHAB,MEDICARE,17425.0,95,96,1.01,183.42
RADFORD HEALTH & REHAB,COMMERCIAL_HMO,3250.0,18,18,1.0,180.56
RADFORD HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,3610.0,22,22,1.0,164.09
RADFORD HEALTH & REHAB,MEDICARE,9475.0,55,55,1.0,172.27
RIDGECREST MANOR NURSING AND REHAB,COMMERCIAL_HMO,19680.0,119,119,1.0,165.38
RIDGECREST MANOR NURSING AND REHAB,MEDICAID,3925.0,21,21,1.0,186.9
RIDGECREST MANOR NURSING AND REHAB,BLUE_CROSS_BLUE_SHIELD,1590.0,9,9,1.0,176.67
RIDGECREST MANOR NURSING AND REHAB,MEDICARE,5495.0,33,33,1.0,166.52
RIVERSIDE HEALTH AND REHAB,COMMERCIAL_HMO,12585.0,73,73,1.0,172.4
RIVERSIDE HEALTH AND REHAB,MEDICAID,465.0,3,3,1.0,155.0
RIVERSIDE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,3005.0,17,17,1.0,176.76
RIVERSIDE HEALTH AND REHAB,MEDICARE,14110.0,82,82,1.0,172.07
RUNK AND PRATT AT WILLOW RIDGE,MEDICARE,170.0,1,1,1.0,170.0
RUNK & PRATT- FOREST,COMMERCIAL_HMO,110.0,1,1,1.0,110.0
RUNK & PRATT- FOREST,BLUE_CROSS_BLUE_SHIELD,110.0,1,1,1.0,110.0
RUNK & PRATT- FOREST,MEDICARE,500.0,4,4,1.0,125.0
RUNK & PRATT-LEESVILLE,COMMERCIAL_HMO,1290.0,5,5,1.0,258.0
RUNK & PRATT-LEESVILLE,MEDICARE,1745.0,6,6,1.0,290.83
RUNK & PRATT- LIBERTY RIDGE,MEDICARE,1305.0,5,5,1.0,261.0
RUNK & PRATT- PEARL OF LIFE,MEDICARE,340.0,2,2,1.0,170.0
RUNK & PRATT- SMITH MOUNTAIN LAKE,COMMERCIAL_HMO,610.0,2,2,1.0,305.0
RUNK & PRATT- SMITH MOUNTAIN LAKE,MEDICARE,2395.0,9,9,1.0,266.11
SALEM HEALTH & REHAB,COMMERCIAL_HMO,22745.0,128,128,1.0,177.7
SALEM HEALTH & REHAB,MEDICAID,650.0,4,4,1.0,162.5
SALEM HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,5895.0,32,32,1.0,184.22
SALEM HEALTH & REHAB,MEDICARE,12435.0,64,64,1.0,194.3
SHENANDOAH VALLEY HEALTH,COMMERCIAL_HMO,5070.0,28,28,1.0,181.07
SHENANDOAH VALLEY HEALTH,BLUE_CROSS_BLUE_SHIELD,2095.0,13,13,1.0,161.15
SHENANDOAH VALLEY HEALTH,MEDICARE,20270.0,138,138,1.0,146.88
STANLEYTOWN HEALTH AND REHAB,COMMERCIAL_HMO,17835.0,84,88,1.05,212.32
STANLEYTOWN HEALTH AND REHAB,MEDICAID,325.0,2,2,1.0,162.5
STANLEYTOWN HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,3845.0,21,21,1.0,183.1
STANLEYTOWN HEALTH AND REHAB,MEDICARE,16205.0,88,88,1.0,184.15
SUMMIT HEALTH AND REHAB,COMMERCIAL_HMO,1295.0,7,7,1.0,185.0
SUMMIT HEALTH AND REHAB,MEDICARE,9245.0,44,44,1.0,210.11
The Rehab Center of Bristol,COMMERCIAL_HMO,8560.0,56,56,1.0,152.86
The Rehab Center of Bristol,BLUE_CROSS_BLUE_SHIELD,285.0,2,2,1.0,142.5
The Rehab Center of Bristol,MEDICARE,28065.0,196,196,1.0,143.19
THREE RIVERS HEALTH & REHAB CENTER,COMMERCIAL_HMO,1980.0,9,9,1.0,220.0
THREE RIVERS HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,3690.0,17,17,1.0,217.06
THREE RIVERS HEALTH & REHAB CENTER,MEDICARE,3125.0,17,17,1.0,183.82
VALLEY HEALTH CARE CENTER,COMMERCIAL_HMO,23595.0,133,133,1.0,177.41
VALLEY HEALTH CARE CENTER,MEDICAID,555.0,3,3,1.0,185.0
VALLEY HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,1810.0,10,10,1.0,181.0
VALLEY HEALTH CARE CENTER,MEDICARE,24815.0,149,149,1.0,166.54
WARSAW HEALTH AND REHAB,COMMERCIAL_HMO,3410.0,18,18,1.0,189.44
